District,Block,Panchayat,lat,long,Remarks,Sr. No.,Generated,Comments,match_status,matched_name,matched_address,coordinate_type,match_note,google_maps_url,google_id,source_query,source_url,retrieved_utc
Keonjhar,Patana,Kendeiposi,21.6934599,85.7948524,Control,11,Already generated & active,Patana block falls in tehsil - Keonjhar (Kendujhar),reviewed_match,Kendeipasi,"Kendeipasi, Odisha 758017",locality/place point,Google Maps spells this Kendeipasi; both original block and district queries return the same locality.,https://www.google.com/maps?cid=3291273153153914856,0x3a1ef0c6875ceaaf:0x2dacf37eb084d7e8,"Kendeiposi, Patana, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Kendeiposi%2C+Patana%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:11.151919+00:00
Koraput,Borigumma,Bijapur,19.0691232,82.5206332,LSFP,12,Generated ,,name_and_query_agreement,Bijapur,"Bijapur, Odisha 764056",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=993395400660908327,0x3a3abfb38d9a4e21:0xdc93fda89e67927,"Bijapur, Borigumma, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Bijapur%2C+Borigumma%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:13.391666+00:00
Koraput,Borigumma,Sargiguda,18.9874254,82.4021319,Control,13,,,reviewed_match,Sargiguda,"Sargiguda, Odisha",locality/place point,Selected Sargiguda returned by Borigumma-qualified search; rejected the more southerly Sargiguda (764081) returned by district-only search. GP/block association is listed at https://rdcsdbmp.nic.in/koraput-district-grampanchayat/,https://www.google.com/maps?cid=8153212397327841024,0x3a3a979d12629c3f:0x7126077a51097700,"Sargiguda, Borigumma, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Sargiguda%2C+Borigumma%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:15.582832+00:00
Koraput,Borigumma,Benasur,19.0346876,82.6213311,Control,14,,,name_and_query_agreement,Benasur,"Benasur, Odisha 764056",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=16662244878841901422,0x3a3aea778f09acf7:0xe73c2f6fdbf1716e,"Benasur, Borigumma, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Benasur%2C+Borigumma%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:17.699714+00:00
Koraput,Kundra,Kerimiti,18.9313887,82.3316244,LSFP,15,Already generated & active,Kundra blocks falls in tehsil - Jaypur,reviewed_match,Kerimity,"Kerimity, Odisha 764002",locality/place point,"Selected Kerimity in Kundura (764002), not the same-name Kerimiti near 83.17 E. Village/GP spelling association: https://villageinfo.in/odisha/koraput/gram-panchayat/kerimiti/",https://www.google.com/maps?cid=3441055838014892217,0x3a3a9bd806aa8317:0x2fc1160d9d2968b9,Kerimity Kundura Odisha,https://www.google.com/search?tbm=map&q=Kerimity+Kundura+Odisha&hl=en,2026-09-24T08:11:06.749525+00:00
Koraput,Kundra,Bhusangaguda,18.9762829,82.4183927,Control,16,,,reviewed_match,Bhusangaguda,"Bhusangaguda, Odisha 764002",locality/place point,Selected village returned by Kundura-spelling and district searches; rejected road result from original Kundra query.,https://www.google.com/maps?cid=8732011523615713733,0x3a3a970effdc4155:0x792e56376fbb69c5,"Bhusangaguda, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Bhusangaguda%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:22.949840+00:00
Koraput,Kundra,Dangarpaunsi,18.9282925,82.4360044,Control,17,,,reviewed_match,Dangarpaunsi,"Dangarpaunsi, Odisha 764002",locality/place point,Selected village returned by Kundura-spelling and district searches; rejected road junction result.,https://www.google.com/maps?cid=11046384587497519580,0x3a3a9128e893a2cd:0x994ca4418e23b9dc,"Dangarpaunsi, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Dangarpaunsi%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:25.087672+00:00
Koraput,Pottangi,Sambai,18.4358666,82.8693672,FES,18,Already generated & active,Pottangi block falls in tehsil- Nandapur,name_and_query_agreement,Sambai,"Sambai, Odisha 764039",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=12849729141685739966,0x3a3a4cf873a67dc7:0xb2536892d629e1be,"Sambai, Pottangi, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Sambai%2C+Pottangi%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:26.164842+00:00
Koraput,Pottangi,Kotia,18.6135506,82.9772436,FES,20,,,reviewed_match,Kotiya,"Kotiya, Odisha 764039",locality/place point,Google spells locality Kotiya; both queries agree. Kotiya/Pottangi association: https://rdcsdbmp.nic.in/koraput-district-grampanchayat/,https://www.google.com/maps?cid=16758936301631277221,0x3a3babc4260d4c63:0xe893b3c6102188a5,"Kotia, Pottangi, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Kotia%2C+Pottangi%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:30.161215+00:00
Koraput,Pottangi,Chandaka,18.4592232,82.9730056,FES,21,,,name_and_query_agreement,Chandaka,"Chandaka, Odisha 764039",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=4648536413308736854,0x3a3bb23ec40a13bf:0x4082eb3d28bc5556,"Chandaka, Pottangi, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Chandaka%2C+Pottangi%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:32.671721+00:00
Koraput,Pottangi,Rallagada,18.5135657,83.0010531,FES,22,,,reviewed_match,Ralegeda,"Ralegeda, Odisha 764039",locality/place point,Selected Ralegeda village; Rallegada place listing is about 20 m away. Rallegada/Pottangi association: https://rdcsdbmp.nic.in/koraput-district-grampanchayat/ . Rejected unrelated Rayagada city.,https://www.google.com/maps?cid=1089155338038483831,0x3a3bae731e2640df:0xf1d750265011b77,Ralegada Koraput Odisha,https://www.google.com/search?tbm=map&q=Ralegada+Koraput+Odisha&hl=en,2026-09-24T08:11:13.116955+00:00
Koraput,Koraput,Mahadeiput,18.8589041,82.7320168,LSFP,23,Already generated & active,,name_and_query_agreement,Mahadeiput,"Mahadeiput, Odisha 764021",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=12141566192233790321,0x3a3aeff950ec1079:0xa87f821f80fcbb71,"Mahadeiput, Koraput, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Mahadeiput%2C+Koraput%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:36.743057+00:00
Koraput,Koraput,Umuri,18.7855105,82.667247,Control,24,,,name_and_query_agreement,Umuri,"Umuri, Odisha 764021",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=15851848143366574452,0x3a3af16b4ac3c9a9:0xdbfd13e652ccd174,"Umuri, Koraput, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Umuri%2C+Koraput%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:38.205438+00:00
Koraput,Koraput,Padampur,18.7839797,82.7987457,Control,25,,,name_and_query_agreement,Padampur,"Padampur, Odisha 764021",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=7723870294301119377,0x3a3afbc1dbf9958d:0x6b30b31c1f029391,"Padampur, Koraput, Koraput, Odisha, India",https://www.google.com/search?tbm=map&q=Padampur%2C+Koraput%2C+Koraput%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:40.028194+00:00
Angul,Angul,Antulia,20.7981331,84.8176862,FES,26,Already generated & active,,name_and_query_agreement,Antulia,"Antulia, Odisha",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=1735745723998437479,0x3a220f752ab0f869:0x18169b8a23548067,"Antulia, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Antulia%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:42.162797+00:00
Angul,Angul,Manikjodi,20.7604705,84.8997797,FES,27,,,reviewed_match,Manikjori,"Manikjori, Odisha 759132",locality/place point,"Maps spelling Manikjori; selected locality from district search, rejected unrelated Binikei Temple. Manikjodi GP is listed under Angul at https://angul.odisha.gov.in/en/node/28488",https://www.google.com/maps?cid=6812329614474174101,0x3a22090a609ca59b:0x5e8a41b0eb9b5e95,"Manikjodi, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Manikjodi%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:45.034147+00:00
Angul,Angul,Nandpur,20.7307537,85.0012541,FES,28,,,reviewed_match,Nandapur,"Nandapur, Odisha",locality/place point,Selected Nandapur in Angul; rejected Nandapur in Koraput and Angul headquarters. GP spelling: https://angul.odisha.gov.in/en/node/28488,https://www.google.com/maps?cid=4460969269655398406,0x3a18a135aa3333bf:0x3de88bea5fbe6806,"Nandpur, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Nandpur%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:46.101471+00:00
Angul,Angul,Sardhapur,20.7954791,85.0817825,FES,29,,,reviewed_match,Saradhapur,"Saradhapur, Odisha 759132",locality/place point,Maps spelling Saradhapur; both original searches agree. GP listed at https://angul.odisha.gov.in/en/node/28488,https://www.google.com/maps?cid=9338390334755966512,0x3a18a510c33bf7f5:0x8198a08855120e30,"Sardhapur, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Sardhapur%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:48.352882+00:00
Angul,Angul,Bargonia,20.7074726,85.0701001,Control,31,,,reviewed_match,Baragounia,"Baragounia, Odisha 759129",locality/place point,Maps spelling Baragounia; both original queries agree. Official GP list uses Bargaunia: https://angul.odisha.gov.in/en/node/28488,https://www.google.com/maps?cid=13437051900801593486,0x3a18a3085d046e89:0xba79ff82dfc4308e,"Bargonia, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Bargonia%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:52.614769+00:00
Angul,Angul,Matiasahi,20.7965793,84.9817822,Control,32,,,reviewed_match,Matiasahi,"Matiasahi, Odisha 759132",locality/place point,Selected exact Matiasahi locality (759132) returned by both searches; rejected MATIA SAHI/Matiasahi Angul listings within Angul town.,https://www.google.com/maps?cid=1660664128008567599,0x3a18a64f785f32bd:0x170bdd39d12f3b2f,"Matiasahi, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Matiasahi%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:54.923712+00:00
Angul,Angul,Bantala,20.7492028,85.0652711,Control,33,,,name_and_query_agreement,Bantala,"Bantala, Odisha 759129",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=11726810619011143531,0x3a18a37f11d1e099:0xa2be00206e70176b,"Bantala, Angul, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Bantala%2C+Angul%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:56.981208+00:00
Angul,Athamallik,Purnamanitri,20.7346049,84.4933758,LSFP,34,Already generated & active,,reviewed_match,Purunamanantri,"Purunamanantri, Odisha 759125",locality/place point,Selected Purunamanantri locality after spelling search; rejected Athmallik headquarters. Village associated with Purunmantri GP: https://villageinfo.in/odisha/angul/athmallik/,https://www.google.com/maps?cid=13004098954254038554,0x3a223bc4028b223b:0xb477d719a857361a,Purunamanatri Athmallik Odisha,https://www.google.com/search?tbm=map&q=Purunamanatri+Athmallik+Odisha&hl=en,2026-09-24T08:11:17.170600+00:00
Angul,Athamallik,Nuagoan,20.7923173,84.4408972,LSFP,35,,,reviewed_match,Nuagaon,"Nuagaon, Odisha 759125",locality/place point,Selected Nuagaon 759125 returned by Athmallik-qualified queries. Rejected Nuagaon 759141/Chhendipada and block headquarters.,https://www.google.com/maps?cid=18018805926678631489,0x3a223aa1cd5cc663:0xfa0fa885c8621441,"Nuagoan, Athamallik, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Nuagoan%2C+Athamallik%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:00.726790+00:00
Angul,Athamallik,Kandhapada,20.7853572,84.4093876,FES,36,,,name_and_query_agreement,Kandhapada,"Kandhapada, Odisha 759125",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=3682068713699473372,0x3a22304654ede683:0x331955fc96a2f7dc,"Kandhapada, Athamallik, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Kandhapada%2C+Athamallik%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:02.962600+00:00
Angul,Athamallik,Kiakata,20.8657509,84.3252791,LSFP,37,,,name_and_query_agreement,Kiakata,"Kiakata, Odisha 759126",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=7125459904930435042,0x3a222c4fa37672f5:0x62e2b807feaacfe2,"Kiakata, Athamallik, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Kiakata%2C+Athamallik%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:05.207593+00:00
Angul,Athamallik,Tusar,20.8849556,84.3673483,Control,39,,,reviewed_match,Tushar,"Tushar, Odisha 759126",locality/place point,Maps spelling Tushar; both original block and district searches return the same locality.,https://www.google.com/maps?cid=5401029154360914294,0x3a222ebcb65dab8f:0x4af44f666735f176,"Tusar, Athamallik, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Tusar%2C+Athamallik%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:08.483428+00:00
Angul,Athamallik,Sapaghara,20.8483491,84.7589753,Control,41,,,name_and_query_agreement,Sapaghara,"Sapaghara, Odisha 759127",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=7282080203706968803,0x3a221ab88496f897:0x650f255cf7dbaae3,"Sapaghara, Athamallik, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Sapaghara%2C+Athamallik%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:12.540135+00:00
Angul,Kishorenagar,Kanteikulia,20.9831804,84.7472259,LSFP,42,Already generated & active,Kishorenagar block falls in tehsil - Athamallik,reviewed_match,Kanteikolia,"Kanteikolia, Odisha 759127",locality/place point,Maps spelling Kanteikolia; both original block and district searches return the same locality.,https://www.google.com/maps?cid=3975197268672970342,0x3a221d14773b2ecd:0x372abcdab75afe66,"Kanteikulia, Kishorenagar, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Kanteikulia%2C+Kishorenagar%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:14.721107+00:00
Angul,Kishorenagar,Handapa,20.9531379,84.6884426,Control,43,,,name_and_query_agreement,Handapa,"Handapa, Odisha 759127",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=3743133557656929800,0x3a221c28a1cc4b9b:0x33f2482382fc4608,"Handapa, Kishorenagar, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Handapa%2C+Kishorenagar%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:16.255158+00:00
Angul,Kishorenagar,Luhamunda,20.9349973,84.7263321,Control,44,,,name_and_query_agreement,Luhamunda,"Luhamunda, Odisha 759127",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=15220478520449546158,0x3a221c653d0bd681:0xd33a0092a2dbb7ae,"Luhamunda, Kishorenagar, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Luhamunda%2C+Kishorenagar%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:18.353439+00:00
Angul,Pallahara,Nampasi,21.4033287,85.2877663,LSFP,45,Already generated & active,,reviewed_match,Namapasi,"Namapasi, Odisha 759119",locality/place point,Selected Namapasi after spelling search; rejected Pallahara/Angul headquarters. Namapasi/GP association: https://www.villagemaps.in/odisha-orissa/namapasi-palalahada-anugul-403499/,https://www.google.com/maps?cid=6649434388641551302,0x3a1f3fe128698219:0x5c478958a43f13c6,Namapasi Pallahara Odisha,https://www.google.com/search?tbm=map&q=Namapasi+Pallahara+Odisha&hl=en,2026-09-24T08:11:24.109141+00:00
Angul,Pallahara,Pechamundi,21.4539534,85.2903524,Control,46,,,name_and_query_agreement,Pechamundi,"Pechamundi, Odisha",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=13253563927874984587,0x3a1f15200c7ff73b:0xb7ee1e2c08eb5a8b,"Pechamundi, Pallahara, Angul, Odisha, India",https://www.google.com/search?tbm=map&q=Pechamundi%2C+Pallahara%2C+Angul%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:22.885118+00:00
Dhenkanal,Hindol,Kansara,20.7127206,85.1505291,LSFP,47,Generated ,,name_and_query_agreement,Kansara,"Kansara, Odisha",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=16377165028897532871,0x3a18bc60968051d1:0xe34760d2e7632bc7,"Kansara, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Kansara%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:24.642064+00:00
Dhenkanal,Hindol,Dandiri,20.5744737,85.3110368,LSFP,48,,,name_and_query_agreement,Dandiri,"Dandiri, Odisha 759021",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=1478948089669433724,0x3a18ebbdec0ea9b1:0x14864773a5fd397c,"Dandiri, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Dandiri%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:26.777176+00:00
Dhenkanal,Hindol,Baunsapokhari,20.6421156,85.1764491,LSFP,49,,,name_and_query_agreement,Baunsapokhari,"Baunsapokhari, Odisha 759022",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=15984231232603302485,0x3a18961c94d5b0b3:0xddd3659e33062a55,"Baunsapokhari, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Baunsapokhari%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:29.032463+00:00
Dhenkanal,Hindol,Bampa,20.6737413,85.4104706,Control,50,,,name_and_query_agreement,Bampa,"Bampa, Odisha 759021",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=519350579872911137,0x3a18c292cd8a69c3:0x7351a99cb37cf21,"Bampa, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Bampa%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:31.249054+00:00
Dhenkanal,Hindol,Giridhara Prasad,20.6900621,85.3536735,Control,51,,,reviewed_match,Giridharprasad,"Giridharprasad, Odisha 759020",locality/place point,Maps spelling Giridharprasad; both original searches return the same locality.,https://www.google.com/maps?cid=5172745394811347934,0x3a18c180b143d9b5:0x47c94887bb44a3de,"Giridhara Prasad, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Giridhara+Prasad%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:32.847601+00:00
Dhenkanal,Hindol,Kantamila,20.7147476,85.2177763,Control,52,,,name_and_query_agreement,Kantamila,"Kantamila, Odisha 759020",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=5919560912447073584,0x3a18bee2373bf17b:0x5226814964b1ed30,"Kantamila, Hindol, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Kantamila%2C+Hindol%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:34.665569+00:00
Dhenkanal,Gondia,Joranda,20.7874489,85.7282023,LSFP,53,Already generated & active,Gondia block falls in tehsil - Dhenkanal,name_and_query_agreement,Joranda,"Joranda, Odisha 759014",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=1507869345803315339,0x3a1924587758eee7:0x14ed072e544ea88b,"Joranda, Gondia, Dhenkanal, Odisha, India",https://www.google.com/search?tbm=map&q=Joranda%2C+Gondia%2C+Dhenkanal%2C+Odisha%2C+India&hl=en,2026-09-24T08:10:36.840196+00:00
